#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2014 03 03 02 50 166  3.1  3.8  2.40 11.43  7.94 273 1020.6  12.7  12.8 999.0 99.0 99.00
2014 03 03 03 50 169  3.6  4.5  2.29 10.00  7.80 269 1020.9  12.7  12.8 999.0 99.0 99.00
2014 03 03 04 50 163  3.1  4.1  2.44 11.43  8.01 284 1020.7  12.6  12.7 999.0 99.0 99.00
2014 03 03 05 50 173  3.8  5.0  2.26 12.12  7.83 277 1021.5  12.6  12.7 999.0 99.0 99.00
2014 03 03 06 50 182  3.3  4.1  2.32 11.43  7.98 271 1022.1  11.7  12.7 999.0 99.0 99.00
2014 03 03 07 50 159  4.4  5.4  2.01 11.43  7.71 282 1022.0  11.3  12.7 999.0 99.0 99.00
2014 03 03 08 50 176  4.8  5.9  2.23 10.81  7.90 278 1021.8  11.1  12.6 999.0 99.0 99.00
2014 03 03 09 50 164  5.0  6.5  2.11 12.12  7.87 283 1021.6  11.4  12.6 999.0 99.0 99.00
2014 03 03 10 50 154  4.6  6.1  2.07 11.43  8.02 279 1021.3  11.3  12.6 999.0 99.0 99.00
2014 03 03 11 50 153  3.8  4.6  1.88 12.12  7.67 274 1021.2  11.1  12.6 999.0 99.0 99.00
2014 03 03 12 50 143  5.4  6.4  1.75 10.81  7.52 277 1020.8  10.9  12.6 999.0 99.0 99.00
2014 03 03 13 50 136  5.2  6.9  1.84 11.43  7.69 278 1021.0  10.8  12.6 999.0 99.0 99.00
2014 03 03 14 50 155  4.7  5.6  1.71 11.43  7.35 296 1020.8  10.7  12.6 999.0 99.0 99.00
2014 03 03 15 50 149  5.4  6.4  1.50 11.43  6.99 280 1021.1  11.0  12.5 999.0 99.0 99.00
2014 03 03 16 50 144  4.9  5.9  1.60 11.43  7.20 272 1021.6  11.5  12.5 999.0 99.0 99.00
2014 03 03 17 50 149  4.5  5.3  1.57 11.43  7.67 282 1021.5  11.8  12.6 999.0 99.0 99.00
2014 03 03 18 50 165  4.9  5.7  1.34 11.43  7.21 280 1021.3  11.4  12.6 999.0 99.0 99.00
2014 03 03 19 50 168  4.4  5.2  1.48 10.00  7.40 272 1021.1  11.5  12.7 999.0 99.0 99.00
2014 03 03 20 50 169  4.2  5.2  1.57 10.00  7.91 283 1020.8  11.5  12.8 999.0 99.0 99.00
2014 03 03 21 50 162  4.2  5.1  1.65 10.81  7.97 267 1020.2  11.8  12.8 999.0 99.0 99.00
2014 03 03 22 50 185  4.8  5.7  1.58 17.39  7.49 274 1019.5  12.1  12.8 999.0 99.0 99.00
2014 03 03 23 50 182  4.1  5.1  1.69 16.00  7.69 262 1019.2  12.0  12.9 999.0 99.0 99.00
2014 03 04 00 50 175  4.3  5.4  1.75 13.79  7.67 274 1019.4  12.0  12.9 999.0 99.0 99.00
2014 03 04 01 50 173  4.2  5.0  1.73 17.39  7.31 292 1019.4  12.1  12.9 999.0 99.0 99.00
2014 03 04 02 50 164  4.9  6.0  1.86 17.39  7.66 272 1019.3  12.3  12.9 999.0 99.0 99.00
2014 03 04 03 50 161  4.9  5.7  1.66 16.00  7.28 267 1019.0  12.4  12.8 999.0 99.0 99.00
2014 03 04 04 50 166  5.3  6.2  1.68 14.81  7.05 264 1019.3  12.4  12.8 999.0 99.0 99.00
2014 03 04 05 50 153  5.4  6.3  1.85 16.00  7.83 288 1019.2  12.5  12.8 999.0 99.0 99.00
2014 03 04 06 50 142  5.8  7.5  1.95 16.00  8.04 259 1018.9  12.5  12.8 999.0 99.0 99.00
2014 03 04 07 50 135  7.5 10.3 99.00 99.00 99.00 999 1018.3  12.5  12.8 999.0 99.0 99.00
2014 03 04 08 50 146  7.0  8.6 99.00 99.00 99.00 999 1018.6  12.4  12.8 999.0 99.0 99.00
2014 03 04 09 50 147  7.4  8.7  2.12 17.39  7.07 282 1018.8  12.3  12.8 999.0 99.0 99.00
2014 03 04 10 50 138  5.7  7.0  2.20 12.90  7.38 278 1018.1  12.3  12.8 999.0 99.0 99.00
2014 03 04 11 50 130  4.9  6.1 99.00 99.00 99.00 999 1017.7  12.4  12.8 999.0 99.0 99.00
2014 03 04 12 50 132  3.7  4.9  2.13 17.39  7.53 281 1017.5  12.6  12.8 999.0 99.0 99.00
2014 03 04 13 50 115  4.0  5.1 99.00 99.00 99.00 999 1017.8  12.4  12.8 999.0 99.0 99.00
2014 03 04 14 50  94  5.1  6.4  2.14 11.43  7.60 270 1018.6  12.4  12.8 999.0 99.0 99.00
2014 03 04 15 50 101  5.4  6.4  2.27 16.00  8.01 287 1019.1  12.3  12.7 999.0 99.0 99.00
2014 03 04 16 50 100  5.0  6.1  2.57 12.90  8.42 297 1019.7  12.4  12.8 999.0 99.0 99.00
2014 03 04 17 50 118  3.9  5.4  2.62 12.12  8.97 278 1019.9  12.5  12.8 999.0 99.0 99.00
2014 03 04 18 50 114  4.1  5.6  2.48 16.00  9.38 286 1020.1  12.5  12.8 999.0 99.0 99.00
2014 03 04 19 50 134  3.6  4.6  2.60 16.00  9.70 280 1020.0  12.5  12.8 999.0 99.0 99.00
2014 03 04 20 50 126  1.9  3.3  2.98 16.00 10.22 281 1019.3  12.6  12.9 999.0 99.0 99.00
2014 03 04 21 50 210  2.6  3.5  3.16 16.00 11.11 278 1019.1  12.6  13.0 999.0 99.0 99.00
2014 03 04 22 50 199  1.6  2.3  3.08 17.39 11.13 281 1018.5  12.6  13.1 999.0 99.0 99.00
2014 03 04 23 50 180  0.9  1.8  3.52 17.39 11.29 277 1018.4  12.5  13.3 999.0 99.0 99.00
2014 03 05 00 50 151  0.6  1.9  3.74 16.00 11.77 274 1018.3  12.2  13.3 999.0 99.0 99.00
2014 03 05 01 50 214  2.8  3.6  3.50 16.00 11.36 282 1018.6  11.9  13.2 999.0 99.0 99.00
2014 03 05 02 50 218  2.0  2.8  3.35 16.00 11.11 280 1019.0  12.1  13.1 999.0 99.0 99.00
2014 03 05 03 50 241  2.8  3.7  2.90 16.00 10.38 282 1019.3  11.7  13.1 999.0 99.0 99.00
2014 03 05 04 50 265  1.9  3.1  3.23 16.00 10.75 284 1019.8  12.4  13.0 999.0 99.0 99.00
